sentence,word,options,answer,explanation
"大(ㄉㄚˋ) 臣(ㄔㄣˊ) 在(ㄗㄞˋ) 朝(ㄔㄠˊ) 廷(ㄊㄧㄥˊ) 上(ㄕㄤˋ) 向(ㄒㄧㄤˋ) 皇(ㄏㄨㄤˊ) 帝(ㄉㄧˋ) 提(ㄊㄧˊ) 出(ㄔㄨ) 改(ㄍㄞˇ) 革(ㄍㄜˊ) 建(ㄐㄧㄢˋ) 議(ㄧˋ) 。",朝,ㄓㄠ|ㄔㄠˊ,ㄔㄠˊ,「朝廷」的朝讀作 ㄔㄠˊ。
"唐(ㄊㄤˊ) 朝(ㄔㄠˊ) 是(ㄕˋ) 一(ㄧ) 個(ㄍㄜˋ) 很(ㄏㄣˇ) 有(ㄧㄡˇ) 名(ㄇㄧㄥˊ) 的(˙ㄉㄜ) 朝(ㄔㄠˊ) 代(ㄉㄞˋ) 。",朝,ㄓㄠ|ㄔㄠˊ,ㄔㄠˊ,「唐朝」的朝讀作 ㄔㄠˊ。
"這(ㄓㄜˋ) 項(ㄒㄧㄤˋ) 政(ㄓㄥˋ) 策(ㄘㄜˋ) 受(ㄕㄡˋ) 到(ㄉㄠˋ) 朝(ㄔㄠˊ) 野(ㄧㄝˇ) 各(ㄍㄜˋ) 界(ㄐㄧㄝˋ) 關(ㄍㄨㄢ) 注(ㄓㄨˋ) 。",朝,ㄓㄠ|ㄔㄠˊ,ㄔㄠˊ,「朝野」的朝讀作 ㄔㄠˊ。
"皇(ㄏㄨㄤˊ) 帝(ㄉㄧˋ) 宣(ㄒㄩㄢ) 布(ㄅㄨˋ) 退(ㄊㄨㄟˋ) 朝(ㄔㄠˊ) 後(ㄏㄡˋ) ， 大(ㄉㄚˋ) 臣(ㄔㄣˊ) 們(˙ㄇㄣ) 才(ㄘㄞˊ) 離(ㄌㄧˊ) 開(ㄎㄞ) 大(ㄉㄚˋ) 殿(ㄉㄧㄢˋ) 。",朝,ㄓㄠ|ㄔㄠˊ,ㄔㄠˊ,「退朝」的朝讀作 ㄔㄠˊ。
"皇(ㄏㄨㄤˊ) 帝(ㄉㄧˋ) 非(ㄈㄟ) 常(ㄔㄤˊ) 重(ㄓㄨㄥˋ) 視(ㄕˋ) 朝(ㄔㄠˊ) 政(ㄓㄥˋ) 的(˙ㄉㄜ) 處(ㄔㄨˇ) 理(ㄌㄧˇ) 。",朝,ㄓㄠ|ㄔㄠˊ,ㄔㄠˊ,「朝政」的朝讀作 ㄔㄠˊ。
"大(ㄉㄚˋ) 臣(ㄔㄣˊ) 們(˙ㄇㄣ) 一(ㄧˊ) 早(ㄗㄠˇ) 就(ㄐㄧㄡˋ) 進(ㄐㄧㄣˋ) 宮(ㄍㄨㄥ) 上(ㄕㄤˋ) 朝(ㄔㄠˊ) 。",朝,ㄓㄠ|ㄔㄠˊ,ㄔㄠˊ,「上朝」的朝讀作 ㄔㄠˊ。
"學(ㄒㄩㄝˊ) 習(ㄒㄧˊ) 不(ㄅㄨˋ) 是(ㄕˋ) 一(ㄧˋ) 朝(ㄓㄠ) 一(ㄧˋ) 夕(ㄒㄧˋ) 就(ㄐㄧㄡˋ) 能(ㄋㄥˊ) 完(ㄨㄢˊ) 成(ㄔㄥˊ) 的(˙ㄉㄜ) 。",朝,ㄓㄠ|ㄔㄠˊ,ㄓㄠ,「一朝一夕」的朝讀作 ㄓㄠ。
"歷(ㄌㄧˋ) 史(ㄕˇ) 上(ㄕㄤˋ) 常(ㄔㄤˊ) 常(ㄔㄤˊ) 發(ㄈㄚ) 生(ㄕㄥ) 改(ㄍㄞˇ) 朝(ㄔㄠˊ) 換(ㄏㄨㄢˋ) 代(ㄉㄞˋ) 的(˙ㄉㄜ) 事(ㄕˋ) 情(ㄑㄧㄥˊ) 。",朝,ㄓㄠ|ㄔㄠˊ,ㄔㄠˊ,「改朝換代」的朝讀作 ㄔㄠˊ。
"小(ㄒㄧㄠˇ) 朋(ㄆㄥˊ) 友(ㄧㄡˇ) 們(˙ㄇㄣ) 充(ㄔㄨㄥ) 滿(ㄇㄢˇ) 朝(ㄓㄠ) 氣(ㄑㄧˋ) 地(˙ㄉㄜ) 在(ㄗㄞˋ) 操(ㄘㄠ) 場(ㄔㄤˇ) 上(ㄕㄤˋ) 跑(ㄆㄠˇ) 步(ㄅㄨˋ) 。",朝,ㄓㄠ|ㄔㄠˊ,ㄓㄠ,「朝氣」的朝讀作 ㄓㄠ。
"花(ㄏㄨㄚ) 瓣(ㄅㄢˋ) 上(ㄕㄤˋ) 的(˙ㄉㄜ) 朝(ㄓㄠ) 露(ㄌㄨˋ) 在(ㄗㄞˋ) 陽(ㄧㄤˊ) 光(ㄍㄨㄤ) 下(ㄒㄧㄚˋ) 閃(ㄕㄢˇ) 閃(ㄕㄢˇ) 發(ㄈㄚ) 亮(ㄌㄧㄤˋ) 。",朝,ㄓㄠ|ㄔㄠˊ,ㄓㄠ,「朝露」的朝讀作 ㄓㄠ。
"奶(ㄋㄞˇ) 奶(ㄋㄞˇ) 朝(ㄓㄠ) 思(ㄙ) 暮(ㄇㄨˋ) 想(ㄒㄧㄤˇ) 著(˙ㄓㄜ) 遠(ㄩㄢˇ) 方(ㄈㄤ) 的(˙ㄉㄜ) 孫(ㄙㄨㄣ) 子(˙ㄗ) 。",朝,ㄓㄠ|ㄔㄠˊ,ㄓㄠ,「朝思暮想」的朝讀作 ㄓㄠ。
